날짜,종가,오픈,고가,저가,거래량,변동 %
2013년 10월 16일,"3,839.40","3,815.00","3,840.50","3,814.10",408.35M,1.20%
2013년 10월 15일,"3,794.00","3,810.70","3,824.40","3,789.70",432.68M,-0.56%
2013년 10월 14일,"3,815.30","3,767.50","3,816.40","3,766.30",364.00M,0.62%
2013년 10월 11일,"3,791.90","3,753.20","3,794.40","3,751.40",408.39M,0.83%
2013년 10월 10일,"3,760.80","3,721.60","3,764.70","3,721.10",437.74M,2.26%
2013년 10월 9일,"3,677.80","3,701.60","3,702.10","3,650.00",533.37M,-0.46%
2013년 10월 8일,"3,694.80","3,772.20","3,772.50","3,694.10",481.57M,-2.00%
2013년 10월 7일,"3,770.40","3,776.60","3,800.10","3,769.80",350.76M,-0.98%
2013년 10월 4일,"3,807.80","3,774.70","3,812.90","3,773.40",342.50M,0.89%
2013년 10월 3일,"3,774.30","3,809.90","3,817.00","3,753.20",432.21M,-1.07%
2013년 10월 2일,"3,815.00","3,793.10","3,819.30","3,788.40",389.04M,-0.08%
2013년 10월 1일,"3,818.00","3,774.20","3,818.00","3,774.20",427.65M,1.23%
2013년 9월 30일,"3,771.50","3,737.60","3,781.00","3,734.70",517.56M,-0.27%
2013년 9월 27일,"3,781.60","3,767.90","3,788.40","3,762.70",378.98M,-0.15%
2013년 9월 26일,"3,787.40","3,774.90","3,795.70","3,772.80",391.05M,0.70%
2013년 9월 25일,"3,761.10","3,772.60","3,782.90","3,754.90",396.66M,-0.19%
2013년 9월 24일,"3,768.30","3,771.60","3,789.90","3,753.00",411.18M,0.08%
2013년 9월 23일,"3,765.30","3,786.80","3,787.10","3,745.50",412.33M,-0.25%
2013년 9월 20일,"3,774.70","3,796.30","3,798.80","3,774.10",965.15M,-0.39%
2013년 9월 19일,"3,789.40","3,794.70","3,798.20","3,781.60",388.05M,0.15%
2013년 9월 18일,"3,783.60","3,751.30","3,790.70","3,737.70",413.28M,1.01%
2013년 9월 17일,"3,745.70","3,725.30","3,747.10","3,724.30",335.97M,0.75%
2013년 9월 16일,"3,717.90","3,755.00","3,756.20","3,712.50",350.89M,-0.12%
2013년 9월 13일,"3,722.20","3,723.30","3,724.70","3,701.90",307.64M,0.17%
2013년 9월 12일,"3,716.00","3,724.50","3,731.80","3,713.10",350.68M,-0.24%
2013년 9월 11일,"3,725.00","3,710.80","3,726.60","3,704.20",382.31M,-0.11%
2013년 9월 10일,"3,729.00","3,724.70","3,729.40","3,716.40",403.55M,0.62%
2013년 9월 9일,"3,706.20","3,675.10","3,708.40","3,675.10",351.95M,1.26%
2013년 9월 6일,"3,660.00","3,672.80","3,677.10","3,618.80",390.50M,0.03%
2013년 9월 5일,"3,658.80","3,652.40","3,665.00","3,651.20",337.42M,0.27%
2013년 9월 4일,"3,649.00","3,619.10","3,651.80","3,612.20",428.67M,1.01%
2013년 9월 3일,"3,612.60","3,622.60","3,637.10","3,593.60",411.22M,0.63%
2013년 8월 30일,"3,589.90","3,621.60","3,621.80","3,581.10",365.19M,-0.84%
2013년 8월 29일,"3,620.30","3,587.10","3,635.80","3,587.10",304.41M,0.75%
2013년 8월 28일,"3,593.40","3,579.10","3,607.40","3,578.80",314.63M,0.41%
2013년 8월 27일,"3,578.50","3,616.10","3,629.90","3,573.60",371.07M,-2.16%
2013년 8월 26일,"3,657.60","3,661.80","3,684.20","3,652.30",320.25M,-0.01%
2013년 8월 23일,"3,657.80","3,659.20","3,660.70","3,643.90",342.96M,0.52%
2013년 8월 22일,"3,638.70","3,614.10","3,639.20","3,613.90",257.82M,1.08%
2013년 8월 21일,"3,599.80","3,603.70","3,630.20","3,589.00",340.21M,-0.38%
2013년 8월 20일,"3,613.60","3,596.80","3,625.30","3,593.10",297.61M,0.68%
